       first            last       hindex        hcalc     i10index          n10          n50         n100         n500        n1000       ncites          cum
        Greg        Anderson         41.0         41.0           85           85           31           11            0            0         1703         1703
      Robert          Bagchi         25.0         25.0           33           33           14            7            3            2         4186         5889
      Daniel         Bolnick         66.0         66.0          131          131           76           54            9            4        12430        18319
      Andrew            Bush         19.0         19.0           26           26            8            6            0            0          967        19286
      Janine           Caira         34.0         34.0          106          106           25            7            0            0         2362        21648
       Robin         Chazdon         99.0         99.0          219          219          144           98           21            6        26303        47951
         Rob         Colwell         84.0         84.0          149          149          104           77           30           15        36547        84498
        John          Cooley         23.0         23.0           39           39           11            3            0            0         1051        85549
     Miranda           Davis          6.0          6.0            5            5            1            1            0            0          222        85771
      Pamela          Diggle         32.0         32.0           45           45           22           11            0            0         1367        87138
     Michael      Finiguerra          9.0          9.0            9            9            1            0            0            0          265        87403
      Nicole           Fusco          3.0          3.0            2            2            0            0            0            0           10        87413
      Carlos  Garcia-Robledo         20.0         20.0           32           32            7            3            1            0         1411        88824
     Bernard        Goffinet         52.0         52.0          141          141           54           25            1            0         6015        94839
       Susan         Herrick          2.0          2.0            1            1            0            0            0            0           17        94856
        Kent       Holsinger         49.0         49.0          113          113           49           25            4            1         3880        98736
       Cindi           Jones         26.0         26.0           41           41           15            6            0            0         1402       100138
   Sebastian         Klarian         11.0         11.0           11           11            2            1            0            0          243       100381
       Sarah          Knutie         22.0         22.0           35           35            8            2            0            0         1121       101502
      Louise           Lewis         38.0         38.0           70           70           31           13            3            1         3989       105491
        Paul           Lewis         38.0         38.0           54           54           33           23            6            2         5270       110761
         Don             Les         47.0         47.0          112          112           42           21            3            1         3786       114547
        Cory           Merow         32.0         32.0           51           51           31           19            2            1         6298       120845
    Margaret          Rubega         24.0         24.0           32           32           13            3            0            0          814       121659
        Carl     Schlichting         45.0         45.0           71           71           44           24            5            5         6438       128097
        Eric         Schultz         35.0         36.0           58           59           28           17            1            1         2232       130329
        Kurt         Schwenk         33.0         34.0           50           51           31           16            0            0         1482       131811
        Jeff         Seemann         54.0         54.0           81           81           55           34            5            0         2748       134559
        John        Silander         60.0         60.0          116          116           67           41            6            3         8218       142777
       Chris           Simon         53.0         53.0          103          103           55           23            2            1         5837       148614
     Heather           Skeen          8.0          8.0            8            8            2            1            0            0          137       148751
      Morgan         Tingley         36.0         36.0           64           64           29           16            1            0         1902       150653
     Stephen          Trumbo         29.0         29.0           52           52           20            5            0            0         1212       151865
       Peter         Turchin         67.0         67.0          136          136           79           58           10            3         9977       161842
        Mark           Urban         41.0         41.0           66           66           40           27            5            3        10290       172132
       David          Wagner         36.0         36.0           90           90           30           23            6            0         6700       178832
        Jill         Wegrzyn         45.0         45.0           84           84           41           18            1            0         5005       183837
    Kentwood           Wells         38.0         38.0           55           55           36           26            3            3         4859       188696
     Michael          Willig         82.0         82.0          220          220          119           67            9            7        15532       204228
     Charles          Yarish         51.0         51.0          139          139           51           22            3            1         6327       210555
       Yaowu            Yuan         26.0         26.0           34           34           18            8            0            0         1915       212470
